state,cause,year,fires,acres,median_size
AL,Fireworks,2015,4,37.1,3.0
AL,Lightning,1992,2,45.0,22.5
AL,Lightning,1993,9,187.2,3.0
AL,Lightning,1994,14,398.7000000000001,7.0
AL,Lightning,1995,64,823.8000000000002,5.5
AL,Lightning,1996,37,1616.8,5.0
AL,Lightning,1997,10,78.7,6.75
AL,Lightning,1998,50,404.7,3.0
AL,Lightning,1999,63,862.5000000000001,3.0
AL,Lightning,2000,265,10769.800000000005,7.0
AL,Lightning,2001,35,1282.6,12.0
AL,Lightning,2002,66,1396.8999999999996,3.0
AL,Lightning,2003,2,7.1,3.55
AL,Lightning,2004,10,155.4,11.0
AL,Lightning,2005,10,75.85,4.55
AL,Lightning,2006,160,7296.3,18.5
AL,Lightning,2007,192,5569.57,4.5
AL,Lightning,2008,40,913.1600000000001,3.0
AL,Lightning,2009,18,787.8,18.5
AL,Lightning,2010,35,531.1500000000001,12.5
AL,Lightning,2011,107,5041.11,6.0
AL,Lightning,2012,62,3720.2,16.0
AL,Lightning,2013,16,361.63,1.75
AL,Lightning,2014,26,879.95,13.5
AL,Lightning,2015,27,2848.1,20.0
AL,Miscellaneous,1992,10,257.4,1.5
AL,Miscellaneous,1993,15,158.0,5.0
AL,Miscellaneous,1994,147,1120.0999999999997,2.0
AL,Miscellaneous,1995,202,1492.8000000000004,1.45
AL,Miscellaneous,1996,226,2521.4999999999977,1.0
AL,Miscellaneous,1997,116,564.2,1.0
AL,Miscellaneous,1998,203,972.6000000000008,1.3
AL,Miscellaneous,1999,229,3343.199999999996,2.0
AL,Miscellaneous,2000,576,7235.700000000011,2.0
AL,Miscellaneous,2001,228,2618.199999999997,2.3
AL,Miscellaneous,2002,194,2208.9999999999986,3.0
AL,Miscellaneous,2003,96,1913.8199999999995,2.0
AL,Miscellaneous,2004,242,2624.829999999999,2.0
AL,Miscellaneous,2005,172,1618.729999999999,2.0
AL,Miscellaneous,2006,335,6735.150000000006,5.0
AL,Miscellaneous,2007,374,3134.579999999997,2.0
AL,Miscellaneous,2008,264,2252.3299999999986,2.0
AL,Miscellaneous,2009,192,2271.75,5.0
AL,Miscellaneous,2010,666,10351.57000000002,5.0
AL,Miscellaneous,2011,621,19264.569999999992,5.0
AL,Miscellaneous,2012,1174,13801.95,2.0
AL,Miscellaneous,2013,1197,15723.190000000104,2.0
AL,Miscellaneous,2014,1874,22378.224999999715,1.775
AL,Miscellaneous,2015,1150,13433.96000000013,1.0
AL,Missing/Undefined,1994,1,0.2,0.2
AL,Missing/Undefined,1995,1,1.0,1.0
AL,Missing/Undefined,2002,2,232.5,116.25
AL,Missing/Undefined,2003,2,10.0,5.0
AL,Missing/Undefined,2004,6,110.0,6.0
AL,Missing/Undefined,2005,3,35.5,8.0
AL,Missing/Undefined,2006,14,733.0,3.5
AL,Missing/Undefined,2007,15,2185.5,138.0
AL,Missing/Undefined,2008,10,2326.0,167.5
AL,Missing/Undefined,2009,5,12.299999999999999,1.0
AL,Missing/Undefined,2010,1,142.0,142.0
AL,Missing/Undefined,2011,3,770.0,85.0
AL,Missing/Undefined,2012,3,5.0,1.0
AL,Missing/Undefined,2013,2,10.0,5.0
AL,Missing/Undefined,2014,5,2102.1,42.0
AL,Missing/Undefined,2015,2,2021.0,1010.5
AL,Powerline,2009,26,319.78,3.5
AL,Powerline,2010,65,449.7800000000001,2.0
AL,Powerline,2011,42,296.40000000000003,2.0
AL,Powerline,2012,1,0.1,0.1
AL,Powerline,2013,44,423.84999999999997,4.0
AL,Powerline,2014,42,427.3000000000001,3.0
AL,Powerline,2015,35,311.2,2.0
AL,Railroad,1992,1,5.0,5.0
AL,Railroad,1993,2,20.0,10.0
AL,Railroad,1994,161,1165.2000000000005,1.0
AL,Railroad,1995,180,965.1000000000001,1.0
AL,Railroad,1996,170,1386.8999999999996,1.0
AL,Railroad,1997,43,820.5,3.0
AL,Railroad,1998,33,445.30000000000007,5.0
AL,Railroad,1999,95,804.3000000000003,2.0
AL,Railroad,2000,81,697.1000000000003,3.0
AL,Railroad,2001,28,357.30000000000007,1.75
AL,Railroad,2002,24,194.4,5.0
AL,Railroad,2003,27,256.15,4.0
AL,Railroad,2004,19,263.1,8.0
AL,Railroad,2005,37,280.45,1.0
AL,Railroad,2006,47,667.3000000000001,5.0
AL,Railroad,2007,61,411.2,2.0
AL,Railroad,2008,35,248.1,3.0
AL,Railroad,2009,18,104.39999999999999,0.75
AL,Railroad,2010,22,346.75,4.0
AL,Railroad,2011,26,311.9,4.5
AL,Smoking,1992,1,0.1,0.1
AL,Smoking,1993,3,3.5,1.0
AL,Smoking,1994,101,812.4,2.0
AL,Smoking,1995,139,753.9000000000003,1.0
AL,Smoking,1996,140,1525.9,2.0
AL,Smoking,1997,54,235.09999999999994,1.5
AL,Smoking,1998,99,363.40000000000003,1.0
AL,Smoking,1999,128,488.30000000000007,0.75
AL,Smoking,2000,186,727.6000000000005,1.5
AL,Smoking,2001,97,345.00000000000017,2.0
AL,Smoking,2002,55,377.00000000000006,2.0
AL,Smoking,2003,36,249.89999999999995,0.95
AL,Smoking,2004,51,267.79999999999995,1.5
AL,Smoking,2005,48,327.5,2.0
AL,Smoking,2006,66,368.8299999999999,1.65
AL,Smoking,2007,55,508.50000000000006,2.0
AL,Smoking,2008,30,93.0,1.75
AL,Smoking,2009,12,292.09999999999997,1.0
AL,Smoking,2010,32,220.14999999999998,4.35
AL,Smoking,2011,14,102.7,2.0
AL,Smoking,2012,14,42.25,1.5
AL,Smoking,2013,12,92.8,5.5
AL,Smoking,2014,10,47.0,2.5
AL,Smoking,2015,5,163.2,18.0
AL,Structure,2009,11,76.75,2.0
AL,Structure,2010,42,171.36999999999998,1.0
AL,Structure,2011,24,110.79999999999998,0.75
AL,Structure,2012,20,75.5,2.0
AL,Structure,2013,14,62.050000000000004,1.5
AL,Structure,2014,30,173.0,1.0
AL,Structure,2015,13,119.99999999999999,1.0
AR,Arson,1992,78,1062.7000000000003,4.0
AR,Arson,1993,114,1438.200000000001,1.95
AR,Arson,1994,110,1636.2999999999993,2.25
AR,Arson,1995,164,4454.599999999998,3.0
AR,Arson,1996,121,2365.0,3.0
AR,Arson,1997,490,7156.3,5.0
AR,Arson,1998,426,5900.200000000001,3.0
AR,Arson,1999,824,12248.5,3.0
AR,Arson,2000,992,13838.1,3.0
AR,Arson,2001,467,6482.4,4.0
AR,Arson,2002,405,7546.1,3.0
AR,Arson,2003,542,11476.850000000004,5.0
AR,Arson,2004,525,13651.449999999999,5.0
AR,Arson,2005,878,20090.23,5.0
AR,Arson,2006,922,25336.05,5.0
AR,Arson,2007,489,12643.0,6.0
AR,Arson,2008,275,4792.99,3.0
AR,Arson,2009,389,9747.65,9.0
AR,Arson,2010,646,13988.85,5.0
AR,Arson,2011,595,14245.550000000001,4.0
AR,Arson,2012,568,10916.48,3.8
AR,Arson,2013,23,1394.9499999999998,0.44
AR,Arson,2014,305,6899.199999999999,5.0
AR,Arson,2015,29,3889.0199999999995,3.0
AR,Campfire,1992,6,25.900000000000002,4.15
AR,Campfire,1993,4,25.7,5.25
AR,Campfire,1994,7,62.9,0.8
AR,Campfire,1995,5,12.6,2.0
AR,Campfire,1996,6,160.79999999999998,20.0
AR,Campfire,1997,17,261.1,5.0
AR,Campfire,1998,14,83.80000000000001,1.0
AR,Campfire,1999,51,539.8,3.0
AR,Campfire,2000,17,201.0,3.0
AR,Campfire,2001,26,221.70000000000002,1.0
AR,Campfire,2002,13,99.7,2.0
AR,Campfire,2003,20,149.2,3.5
AR,Campfire,2004,15,200.91,5.0
AR,Campfire,2005,39,697.38,3.0
AR,Campfire,2006,34,918.6,3.0
AR,Campfire,2007,18,192.2,4.0
AR,Campfire,2008,8,14.85,1.75
AR,Campfire,2009,11,111.2,8.0
AR,Campfire,2010,21,132.89999999999998,2.0
AR,Campfire,2011,20,175.99999999999997,5.5
AR,Campfire,2012,25,506.4000000000001,2.0
AR,Campfire,2013,7,85.11,0.1
AR,Campfire,2014,30,314.61,3.0
AR,Campfire,2015,22,59.35,1.0
AR,Children,1992,1,15.0,15.0
AR,Children,1994,2,6.0,3.0
AR,Children,1995,1,20.0,20.0
AR,Children,1997,10,55.4,1.0
